sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,tr_n_trades,tr_winrate,tr_PF,tr_total_ret,tr_CAGR,tr_Sharpe,tr_Sortino,tr_MaxDD,tr_avg_bars
1.0,1.0,2.5,4.5,2.0,68,32.35294117647059,1.1278820045008193,6.161683695249631,0.8597870978583222,0.14348455400596039,0.1377765799402715,-17.680686132516957,9.897058823529411
1.0,1.0,2.5,4.5,3.0,67,26.865671641791046,1.1351772708489414,6.132492619542984,0.8558158108056935,0.14489010340344152,0.14254027634769548,-17.68068613251698,10.35820895522388
1.0,1.0,2.5,6.0,2.0,60,31.666666666666664,1.1407491958706162,6.430680749091389,0.8963387139977019,0.14806628155684268,0.1443400639181191,-17.30058382026549,11.883333333333333
1.0,1.0,2.5,6.0,3.0,58,29.310344827586203,1.2160282983536825,10.175951675676597,1.3971979192020978,0.2045923122967357,0.20376755258185192,-18.572133602739697,13.172413793103448
1.0,1.0,2.5,8.0,2.0,57,31.57894736842105,1.0746097545254136,2.2497041133199724,0.3190487652382279,0.07981057639059855,0.07695549316847257,-19.572748189261013,12.614035087719298
1.0,1.0,2.5,8.0,3.0,53,28.30188679245283,1.0974504518292545,2.7488384492765805,0.3890188031394848,0.08804736667597556,0.08724801440044135,-21.35512514750374,14.69811320754717
1.0,1.0,3.5,4.5,2.0,68,30.88235294117647,1.0989373439372498,4.112930631106071,0.5787662160529283,0.10927107524592092,0.10396332636479498,-17.68068613251697,9.897058823529411
1.0,1.0,3.5,4.5,3.0,67,22.388059701492537,1.1729538853713166,8.911564684679307,1.2297637437080233,0.18291997060848103,0.18009918494929586,-17.68068613251694,10.35820895522388
1.0,1.0,3.5,6.0,2.0,60,30.0,1.1292800391203472,5.646750937533285,0.7895955578737235,0.13316176942102448,0.12844815619241826,-17.488452469330184,11.883333333333333
1.0,1.0,3.5,6.0,3.0,58,22.413793103448278,1.2168507738776164,10.533415581545814,1.4442358534118238,0.2016102984425554,0.19930010340855478,-19.316637799832158,13.172413793103448
1.0,1.0,3.5,8.0,2.0,57,31.57894736842105,1.0552245380546377,1.0263198569846033,0.1463055662800361,0.06063409864467879,0.05777251236417524,-19.743681712543165,12.614035087719298
1.0,1.0,3.5,8.0,3.0,53,24.528301886792452,1.1472006927137028,5.582538869063902,0.7808221343231336,0.1308172226408917,0.13019332348441884,-20.6837237483424,14.69811320754717
1.0,1.0,5.0,6.0,2.0,60,30.0,1.1407298776862498,6.192764129211392,0.8640143935312095,0.1395996450111301,0.1311510841226987,-16.477752855702935,11.883333333333333
1.0,1.0,5.0,6.0,3.0,58,22.413793103448278,1.3131317588189595,16.678462530251824,2.2331331485225814,0.28070189194562023,0.2827269153102691,-18.328331975468064,13.172413793103448
1.0,1.0,5.0,8.0,2.0,57,31.57894736842105,1.0576413162734608,1.0282711934350264,0.14658252097332625,0.0616870398170457,0.05710379963944295,-18.74287723899863,12.614035087719298
1.0,1.0,5.0,8.0,3.0,53,24.528301886792452,1.2509362458057807,11.605004233439864,1.5844671448404402,0.21515851544812517,0.2177892008485898,-19.671415095300908,14.69811320754717
1.0,1.5,2.5,4.5,2.0,68,32.35294117647059,1.0950996530810075,4.262150847085744,0.5993935239624326,0.11150605206250676,0.10591755036271722,-18.78988167189018,9.897058823529411
1.0,1.5,2.5,4.5,3.0,67,26.865671641791046,1.0878681625323963,2.9132623105200928,0.4120044300526926,0.09066155703695099,0.08735960890736692,-18.72757965338015,10.35820895522388
1.0,1.5,2.5,6.0,2.0,60,31.666666666666664,1.1207941865651265,5.544470101488019,0.7756185634585133,0.13156932131543306,0.12655088672784165,-18.790654263444143,11.883333333333333
1.0,1.5,2.5,6.0,3.0,58,29.310344827586203,1.1798122098580297,8.573842269317545,1.1847596994243315,0.1762708735949072,0.17277245191752783,-20.035448246865847,13.172413793103448
1.0,1.5,2.5,8.0,2.0,57,31.57894736842105,1.0564152860380784,1.1748172671775636,0.16736883293508864,0.06298327707371684,0.06001582291311454,-21.01359428731123,12.614035087719298
1.0,1.5,2.5,8.0,3.0,53,28.30188679245283,1.0591454351564746,0.5558935443481516,0.0794034625454243,0.053470719462453874,0.05216854457083131,-22.758935542395427,14.69811320754717
1.0,1.5,3.5,4.5,2.0,68,30.88235294117647,1.0694410701606265,2.26194981340897,0.3207688999065539,0.08084684832303454,0.07648371621075727,-18.86322043491687,9.897058823529411
1.0,1.5,3.5,4.5,3.0,67,22.388059701492537,1.1241901745168414,5.594213105599355,0.7824175486181861,0.1306647144125809,0.12671514259619884,-18.744330761551826,10.35820895522388
1.0,1.5,3.5,6.0,2.0,60,30.0,1.1107091482243938,4.776136574790657,0.6702507462464924,0.1184753629561489,0.11328033067413223,-18.97452502998344,11.883333333333333
1.0,1.5,3.5,6.0,3.0,58,22.413793103448278,1.184558765861171,8.919051722690408,1.2307600921360295,0.17573032801167146,0.17185376686334938,-20.764207356831875,13.172413793103448
1.0,1.5,3.5,8.0,2.0,57,31.57894736842105,1.038811658962543,-0.024654251962119567,-0.0035303476249581855,0.04565277320804701,0.043181064439725685,-21.180925024730882,12.614035087719298
1.0,1.5,3.5,8.0,3.0,53,24.528301886792452,1.1058982070135994,3.31568772859383,0.46812900530921464,0.0965637233361238,0.09491891209551803,-22.101576770383115,14.69811320754717
1.0,1.5,5.0,6.0,2.0,60,30.0,1.1211829582278219,5.3226044406272655,0.7452599950788175,0.12545911604364118,0.11740554573654828,-17.985016269009378,11.883333333333333
1.0,1.5,5.0,6.0,3.0,58,22.413793103448278,1.2738982593112018,14.950998897519007,2.0150305050826267,0.25268275571679105,0.2517132761400916,-19.796554763222904,13.172413793103448
1.0,1.5,5.0,8.0,2.0,57,31.57894736842105,1.0410063242917944,-0.016759222800843965,-0.002399743501657614,0.04727374669634069,0.04364699783542645,-20.201033540312952,12.614035087719298
1.0,1.5,5.0,8.0,3.0,53,24.528301886792452,1.200605937500136,9.185886071628202,1.2662312030004452,0.1785369544990751,0.17843706044307456,-21.110456027903666,14.69811320754717
1.0,2.0,2.5,4.5,2.0,68,32.35294117647059,1.1224206917057937,6.4973998795716525,0.9053923307316136,0.14358613974575216,0.13963044209980754,-19.64109119609003,9.897058823529411
1.0,2.0,2.5,4.5,3.0,67,26.865671641791046,1.0987245040880491,3.7939960939916695,0.5345935498598742,0.104204093270533,0.10227618345086667,-19.448423810591567,10.35820895522388
1.0,2.0,2.5,6.0,2.0,60,31.666666666666664,1.139683773759534,7.110443546377887,0.9883541019882758,0.1529717745265258,0.1505807203737122,-19.867429501655195,11.883333333333333
1.0,2.0,2.5,6.0,3.0,58,29.310344827586203,1.187727623339467,9.49857676470074,1.3077037441751926,0.18647376487639117,0.18637973376076183,-21.091947594258617,13.172413793103448
1.0,2.0,2.5,8.0,2.0,57,31.57894736842105,1.088354674837016,3.2876033902987656,0.46421828653144814,0.09621849464338461,0.09350029631100147,-22.05275867344009,12.614035087719298
1.0,2.0,2.5,8.0,3.0,53,28.30188679245283,1.0756035509476336,1.537405747481535,0.21868825836994787,0.0696339200447208,0.06897070782677656,-23.77012963917481,14.69811320754717
1.0,2.0,3.5,4.5,2.0,68,30.88235294117647,1.098043241600334,4.4662681276167016,0.6275685458639879,0.11298439598056773,0.10948686653876162,-19.632532740356055,9.897058823529411
1.0,2.0,3.5,4.5,3.0,67,22.388059701492537,1.1341982172270868,6.4840930672317665,0.9035870181129724,0.14222886681907077,0.14050232151019557,-19.46514665558282,10.35820895522388
1.0,2.0,3.5,6.0,2.0,60,30.0,1.130307613777086,6.339728697950053,0.8839889151724067,0.13985295361019442,0.13692208754701957,-20.048261127493394,11.883333333333333
1.0,2.0,3.5,6.0,3.0,58,22.413793103448278,1.1944711576613445,9.839719245392331,1.3528342954298056,0.1856822060294993,0.18518948312627603,-21.808758351570187,13.172413793103448
1.0,2.0,3.5,8.0,2.0,57,31.57894736842105,1.071503938218502,2.07417217745709,0.2943726449414541,0.07834386858486284,0.07559354783004323,-22.21735766091118,12.614035087719298
1.0,2.0,3.5,8.0,3.0,53,24.528301886792452,1.1207958497861066,4.310724574136304,0.6061026077095022,0.11069099373518296,0.11041671298265364,-23.12339486401402,14.69811320754717
1.0,2.0,5.0,6.0,2.0,60,30.0,1.1402694134171367,6.899279830838245,0.9598238483513599,0.1461209908261986,0.14011495132826593,-19.074794998167903,11.883333333333333
1.0,2.0,5.0,6.0,3.0,58,22.413793103448278,1.2805305945355443,15.89933644367283,2.1351087343482567,0.26013744030769453,0.2642002930074978,-20.856727458583237,13.172413793103448
1.0,2.0,5.0,8.0,2.0,57,31.57894736842105,1.0736047397902635,2.0882204260204817,0.29634887291936085,0.07911115254100666,0.0745701920000075,-21.25328401548966,12.614035087719298
1.0,2.0,5.0,8.0,3.0,53,24.528301886792452,1.211954369162116,10.214498908534587,1.402276554538795,0.19017915951571893,0.19283234620738154,-22.148307000884394,14.69811320754717
1.5,1.0,2.5,4.5,2.0,55,41.81818181818181,1.2617856319582887,14.604423604304607,1.9709353959483478,0.2591307473886619,0.2663918161472702,-17.638568124806977,15.018181818181818
1.5,1.0,2.5,4.5,3.0,53,35.84905660377358,1.1657671875127436,7.96874113510182,1.1038246005638186,0.1656243444699746,0.16836969887928457,-18.543885714754825,16.50943396226415
1.5,1.0,2.5,6.0,2.0,46,43.47826086956522,1.413139905576137,20.412003063730943,2.695220162559009,0.3343853932145537,0.3556205340170063,-19.546337129832043,19.543478260869566
1.5,1.0,2.5,6.0,3.0,46,36.95652173913043,1.429690691809296,21.43702861638439,2.819934534652546,0.34681307710887344,0.3749215792245684,-19.546337129832,20.32608695652174
1.5,1.0,2.5,8.0,2.0,43,44.18604651162791,1.367688352848536,17.74012895952366,2.3658060065329556,0.3029944218287799,0.31382210388719634,-20.96304920914199,20.651162790697676
1.5,1.0,2.5,8.0,3.0,40,40.0,1.4333411208449496,19.773105053065954,2.617024785166655,0.328817125974811,0.3475153898242308,-20.96304920914196,23.5
1.5,1.0,3.5,4.5,2.0,55,41.81818181818181,1.22129113301225,11.869051293093303,1.6188439069928728,0.21568878375385903,0.22050497750243062,-18.220147007441117,15.018181818181818
1.5,1.0,3.5,4.5,3.0,53,30.18867924528302,1.1816961969162019,9.52468762336589,1.311162266273036,0.18269954114972672,0.18756264618367718,-18.27077057944394,16.50943396226415
1.5,1.0,3.5,6.0,2.0,46,43.47826086956522,1.4100068630760911,20.52950883651421,2.7095630940598525,0.32675215548303915,0.3455075160339842,-18.874323011186398,19.543478260869566
1.5,1.0,3.5,6.0,3.0,46,32.608695652173914,1.4229403928318995,22.719725458207463,2.9747352932648186,0.34952970750746803,0.3789690308319823,-18.874323011186405,20.32608695652174
1.5,1.0,3.5,8.0,2.0,43,44.18604651162791,1.3823127601461878,18.488342202461293,2.4586932856969668,0.30472436284338,0.3135902741526398,-20.303828547391987,20.651162790697676
1.5,1.0,3.5,8.0,3.0,40,35.0,1.4435030572631664,21.698687993438238,2.8516259558271084,0.3407446678138865,0.3611108777942146,-20.303828547392023,23.5
1.5,1.0,5.0,6.0,2.0,46,43.47826086956522,1.4053440962932349,20.04011969747097,2.649748345483016,0.3098220293829569,0.32086571189619945,-19.36364905095704,19.543478260869566
1.5,1.0,5.0,6.0,3.0,46,32.608695652173914,1.5106678289281337,28.340115385918008,3.637097022794711,0.4028106055682489,0.44396683999738684,-19.36364905095698,20.32608695652174
1.5,1.0,5.0,8.0,2.0,43,44.18604651162791,1.4036402097521448,19.561713000886982,2.5910736031532933,0.3104899427090705,0.3139326245037743,-19.462362768916037,20.651162790697676
1.5,1.0,5.0,8.0,3.0,40,35.0,1.5640432066827987,28.964692912651245,3.7091605066750466,0.4185971898710275,0.4532379590322025,-19.46236276891604,23.5
1.5,1.5,2.5,4.5,2.0,55,41.81818181818181,1.2581448714165155,15.441744544127744,2.077274104428528,0.2594273385395937,0.2684250487694315,-17.977676020483063,15.018181818181818
1.5,1.5,2.5,4.5,3.0,53,37.735849056603776,1.157393890980505,7.718849741999789,1.0702870269965192,0.15770790359092124,0.16159608775746973,-18.885206826077543,16.50943396226415
1.5,1.5,2.5,6.0,2.0,46,43.47826086956522,1.4340609310278474,22.978242787581383,3.005766175968838,0.35110929110310396,0.37460258940596464,-18.980764675438426,19.543478260869566
1.5,1.5,2.5,6.0,3.0,46,39.130434782608695,1.440050621377231,23.2409727888053,3.037245510377584,0.3542164534204392,0.38316461501345117,-18.98076467543845,20.32608695652174
1.5,1.5,2.5,8.0,2.0,43,44.18604651162791,1.3781987315774353,19.548310044572826,2.5894268872793225,0.3136741658106039,0.3257287101986989,-20.408123536837657,20.651162790697676
1.5,1.5,2.5,8.0,3.0,40,42.5,1.4261624909357329,20.653107243832423,2.724636778560652,0.3269686099153408,0.34555435792402145,-20.408123536837635,23.5
1.5,1.5,3.5,4.5,2.0,55,41.81818181818181,1.2207453503448873,12.700382110690157,1.726624220875883,0.2193842541722797,0.2263539159707314,-18.554895116547502,15.018181818181818
1.5,1.5,3.5,4.5,3.0,53,30.18867924528302,1.1742200723621665,9.259256274440531,1.2759715098511926,0.1746536828537287,0.18087270244906772,-18.61388590665066,16.50943396226415
1.5,1.5,3.5,6.0,2.0,46,43.47826086956522,1.430743791653997,23.104925767920204,3.0209520471050855,0.34424774429483646,0.3659313471148992,-18.30610992659903,19.543478260869566
1.5,1.5,3.5,6.0,3.0,46,32.608695652173914,1.4366480817935312,24.529817508786998,3.190842218571377,0.3574054317272698,0.38830082125118637,-18.306109926598996,20.32608695652174
1.5,1.5,3.5,8.0,2.0,43,44.18604651162791,1.3919149875897905,20.314343676315595,2.6832905823802378,0.31577391076236516,0.3264172687097637,-19.74630135388199,20.651162790697676
1.5,1.5,3.5,8.0,3.0,40,35.0,1.4402038034501918,22.57990102157601,2.9579282530171946,0.3392513763110019,0.35993329900781407,-19.74630135388195,23.5
1.5,1.5,5.0,6.0,2.0,46,43.47826086956522,1.4263471417204765,22.614922352451504,2.9621393940870933,0.3283338717005665,0.34309660198340325,-18.757670763412047,19.543478260869566
