sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,tr_n_trades,tr_winrate,tr_PF,tr_total_ret,tr_CAGR,tr_Sharpe,tr_Sortino,tr_MaxDD,tr_avg_bars
1.0,1.0,2.5,4.5,2.0,74,44.5945945945946,1.6532666893198136,43.89022194560541,5.34811859479738,0.6760287767413176,0.6852076630116251,-13.421687260783438,10.432432432432432
1.0,1.0,2.5,4.5,3.0,73,35.61643835616438,1.4464311820551243,31.062588073495068,3.9490454336627234,0.4994635032204276,0.5024781574757289,-18.73158264895506,11.082191780821917
1.0,1.0,2.5,6.0,2.0,66,42.42424242424242,1.8831193779828104,60.88547207118664,7.045620297716826,0.8764710945834123,0.8909059649763053,-13.421687260783468,12.333333333333334
1.0,1.0,2.5,6.0,3.0,65,30.76923076923077,1.6466996919541976,43.96347307174822,5.35579565375599,0.6542109848913663,0.6496375466562178,-17.8530256288002,13.046153846153846
1.0,1.0,2.5,8.0,2.0,50,50.0,2.0199042184077363,57.300472358970154,6.700790543711643,0.8121946869516161,0.8601152051564024,-13.421687260783452,18.18
1.0,1.0,2.5,8.0,3.0,49,36.734693877551024,1.7215749572248524,45.15191517827009,5.4798845993272005,0.6598035059885241,0.688026708800809,-17.853025628800193,19.102040816326532
1.0,1.0,3.5,4.5,2.0,74,43.24324324324324,1.660253329585637,44.22567400877213,5.38324812885016,0.6666164483041447,0.6761595175323315,-13.421687260783454,10.432432432432432
1.0,1.0,3.5,4.5,3.0,73,30.136986301369863,1.4348398190093323,31.63647957886797,4.014094051466444,0.4917383992084165,0.49153988603935156,-17.967213566387233,11.082191780821917
1.0,1.0,3.5,6.0,2.0,66,42.42424242424242,1.9184304911897971,63.449750905119906,7.2882536928720265,0.8889903548888688,0.9057180756953802,-13.421687260783441,12.333333333333334
1.0,1.0,3.5,6.0,3.0,65,27.692307692307693,1.6582805564509204,46.763184410288325,5.646739375803911,0.6688156513537772,0.6633190118632591,-17.853025628800186,13.046153846153846
1.0,1.0,3.5,8.0,2.0,50,48.0,2.0524554769958407,59.79894552839522,6.941811982204138,0.8265825232155256,0.8771423981234261,-13.421687260783447,18.18
1.0,1.0,3.5,8.0,3.0,49,32.6530612244898,1.7673165644830569,49.56183597063954,5.932858383299644,0.6970857307477478,0.7292251567557563,-17.853025628800207,19.102040816326532
1.0,1.0,5.0,6.0,2.0,66,42.42424242424242,2.031859670690614,72.81860353070068,8.147878270989285,0.9638087564204403,0.9998725137264844,-13.421687260783441,12.333333333333334
1.0,1.0,5.0,6.0,3.0,65,27.692307692307693,1.750527167180823,54.13005023172357,6.390180548863933,0.7275115944095389,0.7216699811952768,-17.85302562880017,13.046153846153846
1.0,1.0,5.0,8.0,2.0,50,48.0,2.1693972649995956,67.51562169232703,7.666364388035385,0.8880608721234154,0.9583700850722006,-13.421687260783452,18.18
1.0,1.0,5.0,8.0,3.0,49,32.6530612244898,1.881385852942294,57.66220736523915,6.735888388557476,0.7681726507702553,0.8178607338204664,-17.853025628800182,19.102040816326532
1.0,1.5,2.5,4.5,2.0,74,43.24324324324324,1.6159800980951204,45.93784396951752,5.561468531663061,0.6565248247594075,0.6573068258151366,-14.455407602761255,10.432432432432432
1.0,1.5,2.5,4.5,3.0,73,34.24657534246575,1.436470634862944,32.58297847265232,4.1208474953384755,0.49257792714619597,0.49188438704316495,-19.84737744414514,11.082191780821917
1.0,1.5,2.5,6.0,2.0,66,40.909090909090914,1.7606954452772385,59.06878829282567,6.871711420529181,0.7990007463035448,0.7940852143589439,-14.455407602761246,12.333333333333334
1.0,1.5,2.5,6.0,3.0,65,29.230769230769234,1.5720709373672797,42.293987072491035,5.1799885258727585,0.6000042420441096,0.5892022933535527,-18.816875414356268,13.046153846153846
1.0,1.5,2.5,8.0,2.0,50,48.0,1.987950953900664,60.68190191440168,7.026216734459867,0.8061410617365639,0.8456362396097189,-14.455407602761298,18.18
1.0,1.5,2.5,8.0,3.0,49,34.69387755102041,1.7301404128515083,47.83465731372076,5.756828796599911,0.6585326312351466,0.6835236906196941,-18.816875414356275,19.102040816326532
1.0,1.5,3.5,4.5,2.0,74,41.891891891891895,1.6239137310514178,46.27022369429603,5.595858234750217,0.6491133047204333,0.6521147022536925,-14.455407602761275,10.432432432432432
1.0,1.5,3.5,4.5,3.0,73,28.767123287671232,1.4302161550834844,33.15579766482812,4.185137699274266,0.48648892681788736,0.4844665584963225,-19.095254035021654,11.082191780821917
1.0,1.5,3.5,6.0,2.0,66,40.909090909090914,1.7917904061432328,61.59345496073934,7.1129392437986105,0.8129266768596334,0.811539435897977,-14.455407602761253,12.333333333333334
1.0,1.5,3.5,6.0,3.0,65,26.153846153846157,1.5891741199244016,45.050815262238174,5.469362386949106,0.6162306212608958,0.6060272318152601,-18.81687541435625,13.046153846153846
1.0,1.5,3.5,8.0,2.0,50,46.0,2.021473950495837,63.22146317188064,7.266785758243688,0.8204729253419196,0.8632523912261151,-14.455407602761316,18.18
1.0,1.5,3.5,8.0,3.0,49,30.612244897959183,1.7803485264267422,52.31220140382715,6.20960593298554,0.6945031876332713,0.7236124528422343,-18.816875414356304,19.102040816326532
1.0,1.5,5.0,6.0,2.0,66,40.909090909090914,1.891676124188012,70.82814135452847,7.968646831000203,0.8853684064296766,0.8993338326945045,-14.455407602761273,12.333333333333334
1.0,1.5,5.0,6.0,3.0,65,26.153846153846157,1.6741744163940568,52.309683702567966,6.2093545614251955,0.6741599661534098,0.6644527737144654,-18.816875414356293,13.046153846153846
1.0,1.5,5.0,8.0,2.0,50,46.0,2.1293609924284786,71.0773667717038,7.991186060119548,0.8796349805477309,0.9404048434072868,-14.455407602761259,18.18
1.0,1.5,5.0,8.0,3.0,49,30.612244897959183,1.890594390314286,60.535901755960666,7.012287558598929,0.7627112986906266,0.8080007048520708,-18.816875414356254,19.102040816326532
1.0,2.0,2.5,4.5,2.0,74,43.24324324324324,1.629943331959288,50.80533644072629,6.0585174637587835,0.6824348236177554,0.6732601894425523,-14.137373440099296,10.432432432432432
1.0,2.0,2.5,4.5,3.0,73,34.24657534246575,1.4675506291406262,36.65059606559191,4.572319957717719,0.5217246089837086,0.5154064312774965,-18.985805850594073,11.082191780821917
1.0,2.0,2.5,6.0,2.0,66,40.909090909090914,1.8441816704039038,68.38235567106854,7.745949103706673,0.8673081627290371,0.8719577120479473,-14.137373440099266,12.333333333333334
1.0,2.0,2.5,6.0,3.0,65,29.230769230769234,1.6761343376845494,50.57906883369165,6.035718751381625,0.6724848155316707,0.6684549482992538,-18.498163557020053,13.046153846153846
1.0,2.0,2.5,8.0,2.0,50,48.0,2.081157991301369,68.67750137547515,7.772969686316067,0.8626039345602712,0.913192742999975,-14.13737344009925,18.18
1.0,2.0,2.5,8.0,3.0,49,34.69387755102041,1.8397984413821198,54.73351692027122,6.449722077174003,0.7145610539941073,0.7477720211567555,-18.498163557020114,19.102040816326532
1.0,2.0,3.5,4.5,2.0,74,43.24324324324324,1.6376740232766,51.140788177992455,6.092263685948196,0.6753684060099707,0.6695046029206928,-14.137373440099196,10.432432432432432
1.0,2.0,3.5,4.5,3.0,73,28.767123287671232,1.4646003391696625,37.23311147359563,4.636028935735914,0.5156170059345313,0.509188867488964,-18.49816355702007,11.082191780821917
1.0,2.0,3.5,6.0,2.0,66,40.909090909090914,1.874931366834439,71.04366556913195,7.98813986601572,0.8801462979882926,0.8889286531271974,-14.137373440099243,12.333333333333334
1.0,2.0,3.5,6.0,3.0,65,26.153846153846157,1.694323048673082,53.48548868645495,6.32636334395309,0.6868920209520771,0.6838105200474492,-18.4981635570201,13.046153846153846
1.0,2.0,3.5,8.0,2.0,50,48.0,2.1147191727529058,71.33030129963444,8.014031983850845,0.8760266642992579,0.9303164226558036,-14.1373734400993,18.18
1.0,2.0,3.5,8.0,3.0,49,30.612244897959183,1.8965872421092274,59.40559006500603,6.904081094050096,0.7489435256609628,0.7867400113110399,-18.49816355702007,19.102040816326532
1.0,2.0,5.0,6.0,2.0,66,40.909090909090914,1.9737079988700763,80.78924047460607,8.84832498187864,0.9496039040415344,0.975241487902289,-14.137373440099251,12.333333333333334
1.0,2.0,5.0,6.0,3.0,65,26.153846153846157,1.7814995238393103,61.143313518740406,7.070166628515384,0.7418249951348954,0.7399500448570648,-18.498163557020067,13.046153846153846
1.0,2.0,5.0,8.0,2.0,50,48.0,2.220604066326425,79.54935331698884,8.741125999285803,0.9329615726313384,1.0061940314655127,-14.137373440099262,18.18
1.0,2.0,5.0,8.0,3.0,49,30.612244897959183,2.0093079242287666,67.98565025660534,7.7095667302499615,0.8147888458611949,0.8697841677175258,-18.498163557020092,19.102040816326532
1.5,1.0,2.5,4.5,2.0,63,58.730158730158735,1.882442738604976,60.91847695319272,7.04876422041385,0.8164847707982955,0.836738070031109,-12.796767932991992,14.11111111111111
1.5,1.0,2.5,4.5,3.0,61,52.459016393442624,1.8210027690670234,60.62073010049935,7.02038194516279,0.78861527052269,0.8286710904344581,-16.580170154608467,16.114754098360656
1.5,1.0,2.5,6.0,2.0,55,54.54545454545454,2.083953856066763,73.52693222201236,8.211233255318962,0.950569313699167,0.9650086670993107,-12.272906596018645,16.6
1.5,1.0,2.5,6.0,3.0,51,49.01960784313725,2.036452275287046,66.80094397887883,7.600475846775967,0.8557379505043999,0.8898494503946377,-15.732003729202493,19.627450980392158
1.5,1.0,2.5,8.0,2.0,42,61.904761904761905,2.1422187322577093,63.925769576097814,7.332935471054269,0.8393059060818733,0.8841807579089465,-12.764512155265303,23.476190476190474
1.5,1.0,2.5,8.0,3.0,39,53.84615384615385,1.9504937678700343,57.25267957803182,6.696148211513098,0.7522196955151578,0.8066487935348767,-15.732003729202477,27.307692307692307
1.5,1.0,3.5,4.5,2.0,63,57.14285714285714,1.8596882024444297,58.80654007543671,6.846466323279876,0.7752548987562767,0.797732307548396,-12.35720820242414,14.11111111111111
1.5,1.0,3.5,4.5,3.0,61,45.90163934426229,1.7869899685749937,62.684895864261314,7.216226065792353,0.7776067157174654,0.8159461583418718,-16.42927980228744,16.114754098360656
1.5,1.0,3.5,6.0,2.0,55,54.54545454545454,2.1133282706673584,75.57550678223546,8.393224682864385,0.9498588959983457,0.9713192183693844,-11.830706271258675,16.6
1.5,1.0,3.5,6.0,3.0,51,45.09803921568628,2.007958061906454,69.55141407624322,7.852739498864869,0.8551160977161306,0.887727000567312,-15.307239453174088,19.627450980392158
1.5,1.0,3.5,8.0,2.0,42,59.523809523809526,2.1579968720136535,65.46678303416289,7.476825114480157,0.8385865469144641,0.8890799373513145,-12.74542530454755,23.476190476190474
1.5,1.0,3.5,8.0,3.0,39,48.717948717948715,1.9679212850029992,61.75736665486491,7.128488843998193,0.7799041215093653,0.8388339910483216,-15.307239453174107,27.307692307692307
1.5,1.0,5.0,6.0,2.0,55,54.54545454545454,2.189248940095023,81.60115732806716,8.918181419756376,0.9766098116595833,1.0059584061157238,-13.157307245538579,16.6
1.5,1.0,5.0,6.0,3.0,51,45.09803921568628,2.0544988558703707,72.9202508501005,8.156983561374087,0.8530248929794663,0.8831200119109323,-16.581532281259353,19.627450980392158
1.5,1.0,5.0,8.0,2.0,42,59.523809523809526,2.236282907179029,70.87258607039276,7.972668346447476,0.8678874056247823,0.9261328577486122,-13.157307245538544,23.476190476190474
1.5,1.0,5.0,8.0,3.0,39,48.717948717948715,2.033011428831596,66.75238002544639,7.595989801377212,0.8043652588822799,0.8746548303865358,-16.58153228125933,27.307692307692307
1.5,1.5,2.5,4.5,2.0,63,57.14285714285714,1.810488103762871,62.97639599291631,7.243711250745188,0.790098259159388,0.8044645561961087,-14.368560581404319,14.11111111111111
1.5,1.5,2.5,4.5,3.0,61,50.81967213114754,1.7769784944772835,62.756867814482064,7.223016132216564,0.7721143157769852,0.8069622579290768,-17.730944508479347,16.114754098360656
1.5,1.5,2.5,6.0,2.0,55,52.72727272727272,1.870763945093718,68.54775111487432,7.761096046827598,0.8429198786235232,0.8323152602262461,-14.34808578386344,16.6
1.5,1.5,2.5,6.0,3.0,51,47.05882352941176,1.832155576000229,61.50047183168659,7.104112324063472,0.7593151421005647,0.7714594293704897,-17.71127366951529,19.627450980392158
1.5,1.5,2.5,8.0,2.0,42,59.523809523809526,2.0530132065815794,65.9668341464101,7.523269859344084,0.8201158957057562,0.8545276274442195,-14.348085783863446,23.476190476190474
1.5,1.5,2.5,8.0,3.0,39,51.28205128205128,1.8894993510991172,58.46681379603851,6.813709705454918,0.7322938880288442,0.7784295960838549,-17.71127366951528,27.307692307692307
1.5,1.5,3.5,4.5,2.0,63,55.55555555555556,1.79228916691093,60.83292566983096,7.040613781882565,0.7533501550831423,0.772178284093011,-13.938472198568371,14.11111111111111
1.5,1.5,3.5,4.5,3.0,61,44.26229508196721,1.755811166757587,64.83663744483626,7.418125625147787,0.7639334374743145,0.7997996067889653,-17.522443509943542,16.114754098360656
1.5,1.5,3.5,6.0,2.0,55,52.72727272727272,1.8955735372098133,70.52674176892673,7.941351449953538,0.845801354283637,0.8429743444678692,-13.917894565285993,16.6
1.5,1.5,3.5,6.0,3.0,51,43.13725490196079,1.8242228673606153,64.15183754825009,7.354116552774559,0.7632580173056995,0.7772659286651926,-17.29797423798165,19.627450980392158
1.5,1.5,3.5,8.0,2.0,42,57.14285714285714,2.0710717362112874,67.51516361038203,7.666322233123668,0.8205782270034594,0.8611819523987041,-13.91789456528604,23.476190476190474
1.5,1.5,3.5,8.0,3.0,39,46.15384615384615,1.9157890979320493,62.991407693092704,7.245125544539621,0.7598590365378145,0.8109692833944285,-17.297974237981656,27.307692307692307
1.5,1.5,5.0,6.0,2.0,55,52.72727272727272,1.959696035216773,76.36206111544696,8.462617529025774,0.8753048430684729,0.8807870963795534,-15.208468221018276,16.6
1.5,1.5,5.0,6.0,3.0,51,43.13725490196079,1.8645885030288551,67.4023741855081,7.655939798430045,0.7665536033865898,0.7818305856434339,-18.537872532582504,19.627450980392158
1.5,1.5,5.0,8.0,2.0,42,57.14285714285714,2.1414262938750146,72.97092840216017,8.161521405598071,0.8499496976427252,0.8985806108712251,-15.208468221018276,23.476190476190474
1.5,1.5,5.0,8.0,3.0,39,46.15384615384615,1.9762209556940555,68.0090235218009,7.711712362857526,0.7847863045829563,0.8472512899875123,-18.537872532582472,27.307692307692307
1.5,2.0,2.5,4.5,2.0,63,57.14285714285714,1.8145816869487936,68.99348765519441,7.801853358301103,0.8146364328152746,0.8148669618211368,-14.5939948472738,14.11111111111111
1.5,2.0,2.5,4.5,3.0,61,50.81967213114754,1.7834288938124325,67.81553649178211,7.693942817434696,0.7899030768081664,0.8122959924340234,-18.008285995989585,16.114754098360656
