sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,tr_n_trades,tr_winrate,tr_PF,tr_total_ret,tr_CAGR,tr_Sharpe,tr_Sortino,tr_MaxDD,tr_avg_bars
1.0,1.0,2.5,4.5,2.0,44,29.545454545454547,0.8490199017873941,-5.315695367344231,-2.656475209958087,-0.32978212322665446,-0.24126300656501173,-13.917696209334732,8.272727272727273
1.0,1.0,2.5,4.5,3.0,40,27.500000000000004,0.8856589525461912,-0.19349770215846274,-0.09542475378617743,0.024283425932596754,0.018865111343350845,-11.534558240748813,8.9
1.0,1.0,2.5,6.0,2.0,41,29.268292682926827,0.7759429503590055,-7.335405854041466,-3.6855763428812582,-0.4740372003893999,-0.3574581862422968,-13.926819981823172,9.682926829268293
1.0,1.0,2.5,6.0,3.0,36,30.555555555555557,0.8501286726093267,-0.8630179425937357,-0.42632934220453444,-0.020260380716523366,-0.01626573934715896,-11.543934599514325,11.027777777777779
1.0,1.0,2.5,8.0,2.0,36,27.77777777777778,0.6443011279607533,-10.224874355982404,-5.177827502308885,-0.6755707556220789,-0.5125665409178126,-15.152985557873317,11.777777777777779
1.0,1.0,2.5,8.0,3.0,31,25.806451612903224,0.6776581878500134,-4.937424481728581,-2.464976982148692,-0.2939073532255964,-0.2328601004138029,-13.473401457426649,13.451612903225806
1.0,1.0,3.5,4.5,2.0,44,27.27272727272727,0.8879397569437605,-4.161682123876975,-2.0734652986094337,-0.24109655522613102,-0.17918604698381668,-13.917696209334714,8.272727272727273
1.0,1.0,3.5,4.5,3.0,40,25.0,0.9261155019481694,1.2195367060449547,0.5992804979166877,0.11641206883072965,0.09212656380733501,-11.53455824074879,8.9
1.0,1.0,3.5,6.0,2.0,41,26.82926829268293,0.7848411090759453,-7.1114632651517296,-3.570914122715829,-0.4459423627816671,-0.3379560009579608,-13.793170605514627,9.682926829268293
1.0,1.0,3.5,6.0,3.0,36,25.0,0.8508025683652041,-0.7223815873874662,-0.3567272459459647,-0.00765113244233601,-0.006185114860409972,-11.567466631526328,11.027777777777779
1.0,1.0,3.5,8.0,2.0,36,27.77777777777778,0.6818771343376987,-9.27031591590235,-4.682192157206188,-0.597443449513488,-0.4593255516517651,-14.811722945715609,11.777777777777779
1.0,1.0,3.5,8.0,3.0,31,25.806451612903224,0.7336490210643031,-3.3080224876340325,-1.6444819525848975,-0.17804924632989827,-0.1434937153611587,-13.02297772074745,13.451612903225806
1.0,1.0,5.0,6.0,2.0,41,26.82926829268293,0.8061415794569735,-6.5220120365656165,-3.2697739235999723,-0.3877891899856085,-0.2966118225792937,-14.16028110546706,9.682926829268293
1.0,1.0,5.0,6.0,3.0,36,25.0,0.874658148479623,0.04087300608364153,0.02014482956094188,0.042661708604285094,0.034879595187918826,-11.783858957103387,11.027777777777779
1.0,1.0,5.0,8.0,2.0,36,27.77777777777778,0.6793500433805664,-9.35693968399237,-4.727060383524551,-0.5763253422906455,-0.4459844634768207,-15.142327816527185,11.777777777777779
1.0,1.0,5.0,8.0,3.0,31,25.806451612903224,0.7318361902580596,-3.2467315383153728,-1.613755892784996,-0.16277076976124333,-0.13230933146034213,-13.118112420074791,13.451612903225806
1.0,1.5,2.5,4.5,2.0,44,29.545454545454547,0.8419601270658289,-5.957155372603895,-2.982100823157352,-0.34671396217683365,-0.24915343755782823,-15.0919441638813,8.272727272727273
1.0,1.5,2.5,4.5,3.0,40,27.500000000000004,0.8680675241371424,-0.8825023875808746,-0.43597630319616165,-0.015573457146512513,-0.011828202173209304,-12.922285702538103,8.9
1.0,1.5,2.5,6.0,2.0,41,29.268292682926827,0.7968790495328637,-7.014912081731284,-3.5215216081147194,-0.4201463598179836,-0.3124515315547835,-14.550520833719169,9.682926829268293
1.0,1.5,2.5,6.0,3.0,36,30.555555555555557,0.8635998675169504,-0.5260760202800641,-0.2596575435050652,0.006493786727642185,0.005119722067278952,-12.606813245737916,11.027777777777779
1.0,1.5,2.5,8.0,2.0,36,27.77777777777778,0.6628793335172465,-10.164953220895523,-5.146636275897465,-0.6294333199673993,-0.4715883691876259,-15.858393860613877,11.777777777777779
1.0,1.5,2.5,8.0,3.0,31,25.806451612903224,0.6850200399147869,-4.985560672102585,-2.4893242657454184,-0.276930353980179,-0.21592888364874846,-14.593535715558467,13.451612903225806
1.0,1.5,3.5,4.5,2.0,44,29.545454545454547,0.8781539621214689,-4.812414795054054,-2.4017762704399925,-0.2636352846078522,-0.19225813456756413,-15.053011993497565,8.272727272727273
