sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sharpe,std_Sharpe,min_Sharpe,mean_PF,mean_DD,worst_DD,mean_Ret,mean_Trades,mean_WinR,n_folds
1.0,1.0,5.0,8.0,3.0,0.6093884576654808,1.1515630380932784,-0.5896069216743317,1.6010966977252081,-6.552230468069783,-12.613677922196848,3.014220626210014,7.8,25.216450216450216,5
2.0,1.5,5.0,8.0,3.0,0.6029949798184975,0.9659860310164315,-0.6489440202451794,1.8771014106483404,-6.980803993992479,-9.09580701555506,4.159944222922896,6.0,41.21428571428571,5
1.0,1.5,5.0,8.0,3.0,0.5932904720924264,1.1033363595158578,-0.46312290335187734,1.6118872116116691,-6.678056393360447,-12.305528282056,3.184153199680892,7.8,25.216450216450216,5
2.0,1.0,5.0,8.0,3.0,0.5868401998856523,0.9253245291845474,-0.5139569289508912,1.7688468446177648,-6.83746836556991,-9.105877750784828,3.822370757433518,6.0,41.21428571428571,5
2.0,1.5,5.0,8.0,2.0,0.5778024632223951,1.0062575820870314,-0.6489440202451794,2.06799400838258,-6.727830491457796,-9.09580701555506,3.8070340480425413,6.2,47.21428571428571,5
2.0,1.0,5.0,8.0,2.0,0.55491557018112,0.9719471905035972,-0.5139569289508912,1.921740926488392,-6.54045530615336,-9.105877750784828,3.4427935128615177,6.2,47.21428571428571,5
2.0,1.5,3.5,8.0,3.0,0.5527543066994995,0.8932049695976414,-0.5462528380029699,1.769314829113054,-6.987976825829827,-9.11702013067077,3.634997210311048,6.0,44.07142857142857,5
1.0,1.5,3.5,4.5,3.0,0.5484188430045212,1.0185906857509064,-0.5533114894497606,1.5109148669405763,-6.3901100975158185,-10.518432914182894,3.2915134230817467,9.8,31.246031746031747,5
1.0,1.0,3.5,4.5,3.0,0.5432601976292037,1.0197896899450918,-0.4890524173321843,1.4840499316258007,-6.197921497135595,-10.822982837783664,2.971995916689239,9.8,31.246031746031747,5
2.0,1.0,3.5,8.0,3.0,0.5355673294058798,0.8535040348930487,-0.4030161842358864,1.6677781361512714,-6.844683539816683,-9.127208774461332,3.3034016271348947,6.0,44.07142857142857,5
